ProteinID	GeneSymbol	Description	S01	S02	S03	S04	S05	S06	S07	S08	S09	S10	S11	S12
P00265	GENE265	Protein P00265	6977662.095871359	9092190.9920968	875758.9014375218	23281431.89693234	249319.56475479717	4464535.363750106	14280075.479347752	2247180.4329180513	6733123.448381614		3257891.3907104516	2313909.9975701566
P00266	GENE266	Protein P00266	653684.5837668887	985778.6835268612	649464.4920611299	1786133.1063373573	239658.98507643474	123906142.52428119	7049293.4303641375	9677344.12655989	5135837.138007606	3164639.8184606833	41232082.02276922	
P00267	GENE267	Protein P00267		2192028.9493187484	387075.0533222252	3617362.394600258	17877155.949637473	1068431.5577963102	2262617.9395763464	12568693.363088626	5430038.534364848	2504645.7650640504	13030309.397845738	4374125.117254728
P00268	GENE268	Protein P00268	8628371.220246008	13082295.716500582	3491412.635571893	1361946.4170924996	6020873.010475287	10124399.485016271	9660956.609254306	48217196.18380429		28596632.69882351		
P00269	GENE269	Protein P00269	3867001.0374852396	31963408.7721947	339727.3202823365	18848083.242442578	917416.3177016258	17633129.981587	1098256.7540139742	1815271.2527679089	2016570.2770970576	54210706.963420175	6967710.785958173	5743005.9070376195
P00270	GENE270	Protein P00270	5589717.434092564				20131697.434386607	2122374.883835399	9902753.134266106	2372373.9609668986	3729632.7778637074	47206377.8781381	55491576.17565214	2023035.9014514766
P00271	GENE271	Protein P00271	2703092.322270891	3551352.1160498024	807507.2129804579	8578938.469633128	5267791.855310364	3219489.693480775	1822851.271432628	1027837.5418797146	6851723.599124163	108474942.90596032	29745984.05767432	6090663.599108895
P00272	GENE272	Protein P00272	3096089.1301827175	33175816.550837487	364614374.9297064	1973577.3154019786	20821135.114074353	62177462.9439053	820937.0844370453	15028828.015265139	10318774.052774437	59632561.61120068	686115.6163723788	26264796.043171767
P00273	GENE273	Protein P00273	1453677.5286295465	1293354.914272102	28201183.134007007	30037102.23487499	3952522.945882139	3705377.4356547687	537120.4639518344	2009745.9715705155		2034277.8812161442	9077656.332924971	912938.5272455189
P00274	GENE274	Protein P00274	4312413.225542608	15466638.462039074	21815615.581701826	70251385.01835315	20428742.333265573	373730.01983446244	6106077.5928879455	27322364.62774055	2724930.672323281	22037757.680611454	860147.6600971539	8694928.94520998
P00275	GENE275	Protein P00275	8625031.305188823	66992209.06251679	4135109.8625608813	5303238.481098133	1751352.9996534842	5789762.846998611	2764720.373000294	16285429.407104386	5512382.002868512	580618.6561018028	6946124.304342264	3982397.92109404
P00276	GENE276	Protein P00276		301371.9370478364	2196784.1908424897	196983.57419716057	13588206.771110676		23517545.025814086	233753.21352037584	3221003.0457837568	3076664.637590433	6125623.822922898	121752.8758990117
P00277	GENE277	Protein P00277	563542.40761395	4387502.842153692		66947589.111121975	60134535.04766226	10608410.022290716	609225.6933780626	1901939.6933182548		65842509.04185378		268816.71056666016
P00278	GENE278	Protein P00278		4524800.757977678		2929583.3218947984	4999672.065914106	3674006.314822175	2934224.3313223277	1704514.6939946176	2195276.8019971712	1938604.737533062	12905681.441955885	2973064.6726405993
P00279	GENE279	Protein P00279		5772856.82503836	2488785.4032137133	1265011.6063291754	538196.0926380871	2306457.438045937	13172489.420715084	9913850.958025435	493846.6064005499		19005184.79731894	3558298.7572006863
P00280	GENE280	Protein P00280	468474.5223664024	2812289.1396922497	5628484.931023319	2459290.4772345307	5410539.551879358	6563811.024572884	230770.42126239132	10753119.864592308	148731.58486199193	19912982.848549336	3012682.1529241204	
P00281	GENE281	Protein P00281	1723890.3912032447		2341540.5296173124	4078323.923333622		1744076.2897756628	598904.5948045746	482262.36659737193	6653835.080213838	271005.37488377816	65830632.751347706	1000449.7174640296
P00282	GENE282	Protein P00282		745777.9686298108	5926791.403298914		4683778.923882533	8329225.205525186	9826875.976248397	27509091.905042402	32606087.605969872	7858653.860978757	4194065.4993006536	4384041.778666278
P00283	GENE283	Protein P00283	5788534.436956477	3386624.391817792	4801104.348349124	848311.5143732246	15338981.007592162	5405447.867238991	2102054.140620734	14613182.743391152	63463419.88298626	4531968.83534246	8432284.460142154	3100538.4123340016
P00284	GENE284	Protein P00284	698040.564171415	4894219.735422763	1405699.6123112603	8897491.871674186	1781822.1276331688	3286171.0927119707	23519720.52067774			2826732.7977445163	3187296.663726829	3544894.6783984015
P00285	GENE285	Protein P00285		5899873.10234935	2727648.308486624	1437156.6601807699	16753697.486316813	1941590.845448422	7686067.3368302025	3933750.4709181427	4217684.472330454	240214.17222414096	10695455.28875095	14592540.104542572
P00286	GENE286	Protein P00286	10880795.634111173	2616256.601202282	395345.99028127274	9458930.79912545	3067643.5379442973		1111567.0096021532	54737894.18230963	930111.8605508567	592327.3641427129	83300323.42260386	7275312.69221809
P00287	GENE287	Protein P00287	8080695.015186517	4303115.679968833	825639.0312782429	21650640.213114403	2637079.5100711132	13087083.0450299	510713.0872915135	18176605.04480667	2458393.5501999487	3619450.6683479906	6858164.445234806	3998060.5485361437
P00288	GENE288	Protein P00288	2528450.9140021876	622367.18993567	2467869.7091057757	20772945.554220013	529395.4373558204	1234987.6446099656	1114086.6460838497	4433924.069412698	14521128.316560425	27846745.31335129	2800806.827663427	6001030.945350175
P00289	GENE289	Protein P00289	6525721.395224362		5895916.132602392			1352734.9961677336	3315486.497882734	2951125.714959878	9902367.866329499	1877188.3244681642	4929513.3898505885	619008.2042293245
P00290	GENE290	Protein P00290	270275998.178017	1427274.8038157406	6044196.655385141	13277455.770467691	12123526.63952753	14317555.335835956	3175990.7150112432	4739593.818424147	2376083.4580257023	860538.3203758002	4058373.783910777	3482499.7712473506
P00291	GENE291	Protein P00291	2051146.9626830514	2526220.2733358946	37473687.325765505	5683566.5187246315	7242927.80399887	1153511.0192221801	29531855.11843747	1925756.3271509407	277760207.0269714	9057318.035035241	7483571.928551819	13304475.91264993
P00292	GENE292	Protein P00292	1558161.4661751583	696270.9549156862	6277162.901132404	6033398.634509872	3739849.163068183	1299443.340409719	2546448.735551062	952683.8980437006	2560287.731397041	13014311.794611877	159443.36959670935	3772467.9168177773
P00293	GENE293	Protein P00293	1797951.1038387518	4904345.960489419	34513534.69941564	8235989.439264794	1469857.784874811	2366560.125096808	2064963.9364010799	3573271.99630049	6002545.1812039735	12352587.786394712	8536349.684735421	70038.50454215964
P00294	GENE294	Protein P00294	3193914.499334955	3720630.461242031	6146589.450574896	3953440.493391524	58951769.40466828	18033190.609746393	60581626.73725475	5914820.336767038	6468602.3920744965	3745784.8805679036	98107.12745818206	19361438.70492065
P00295	GENE295	Protein P00295	10376882.228070544	95483491.4334021	12960889.928041464	10900989.779253764	6858029.717899444	2305432.9988477235	10823658.445396177	1934309.4546835746	2976823.84741411	1814675.7613208657	14564521.39323249	4750725.674408035
P00296	GENE296	Protein P00296	571667.825671855			34782752.07907954	76449331.7352809	1398288.100020577	518516.2219016465	933196.4536194322	11720094.05259849		3231433.366373838	25018464.83370299
P00297	GENE297	Protein P00297	10968782.354323665	4900848.036417829	1024017.8031169134	10927336.229261221	1279080.3507910743	10302155.12603115	12446042.185574355	4663181.99590203	36220189.975776	2416784.525838065	12067158.440029444	968390.3001547105
P00298	GENE298	Protein P00298	4362906.853749391	1172432.4013907001	8372363.406585459	5255084.00117529	1297289.4773148	17296397.19583704	8241378.121014556	4096061.2152625956	3969192.8625035007	23794613.04967522	2410058.2059899173	3494402.196256179
P00299	GENE299	Protein P00299		3187977.2187110954	4628922.241117779	3779666.1839072923	5630104.8594029145	201601514.22277313	635518.6747845302	4869849.4355819095	1019699.4881721027	53065896.69653965	1926297.8051114639	438347.6783821446
P00300	GENE300	Protein P00300	2536949.0945394295	6471323.699787368	13962436.429665282	894537.9911716497	9850547.738733543	3848312.3376927823	1624596.7824256648		24153303.41182851	1253053.7823099485	5994312.674196526	299938.4828448683
